"","ExrNTC_S49","WP2-001_S1","WP2-002_S2","WP2-003_S3","WP2-004_S4","WP2-005_S5","WP2-006_S6","WP2-007_S7","WP2-008_S8","WP2-009_S9","WP2-010_S10","WP2-011_S11","WP2-012_S12","WP2-013_S13","WP2-014_S14","WP2-016_S16","WP2-017_S17","WP2-018_S18","WP2-019_S19","WP2-020_S20","WP2-021_S21","WP2-022_S22","WP2-023_S23","WP2-024_S24","WP2-025_S25","WP2-026_S26","WP2-027_S48","WP2-029_S29","WP2-030_S30","WP2-031_S31","WP2-032_S32","WP2-033_S33","WP2-034_S34","WP2-035_S35","WP2-036_S36","WP2-037_S37","WP2-038_S38","WP2-039_S39","WP2-040_S40","WP2-041_S41","WP2-042_S42","WP2-043_S43","WP2-044_S44","WP2-045_S45","WP2-046_S46"
"Nilaparvata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nomada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Notothenia",0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nysson",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Octodon",0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Octopus",0,293,152,281,173,175,116,157,172,208,309,1084,171,611,1327,203,135,171,157,184,451,266,261,0,403,654,0,1139,1718,179,113,166,192,208,309,122,124,0,106,127,465,408,0,307,0
"Ocypus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Odobenus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oikopleura",0,0,0,0,112,273,202,332,347,648,796,2017,341,1165,1745,165,0,0,0,354,594,446,478,118,1070,1318,119,1667,1099,0,0,0,120,0,113,212,152,0,227,196,254,1109,482,0,0
"Oncorhynchus",0,393,171,449,302,284,182,193,247,367,436,0,211,317,0,415,220,229,197,241,598,337,275,0,573,599,111,0,0,288,206,232,303,328,274,192,245,0,111,134,197,520,0,433,0
"Onychomys",0,0,0,0,0,0,0,0,0,0,0,210,0,111,0,0,0,0,0,0,0,0,0,0,0,131,0,212,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ophion",0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ophonus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oppia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Orcinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Orussus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oryzias",0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oscarella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ostrea",0,0,0,0,0,0,0,0,0,0,0,131,0,106,162,0,0,0,0,0,500,0,0,0,0,160,0,223,303,0,0,0,0,0,0,225,0,0,0,202,0,0,0,0,0
"Pammene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parus",0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Patella",0,721,715,2386,1646,4236,3476,5293,5719,11167,16298,29902,12193,20733,29394,3904,210,1309,1232,3784,7098,13193,3324,1501,17796,18645,1570,9003,6320,242,295,1236,1798,1561,2041,3726,1899,1027,1527,2389,2683,7756,5474,445,0
"Patiria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pecten",0,0,0,109,0,118,0,288,542,994,581,1975,332,259,317,0,0,0,110,713,332,494,210,0,358,1271,0,230,196,0,0,116,170,136,849,580,522,168,636,604,1133,822,667,0,0
"Penaeus",0,896,359,1042,725,545,416,497,624,932,1088,4516,592,2080,5458,1121,465,452,446,604,1252,810,730,195,1435,1865,292,4033,5600,494,421,564,600,777,773,442,627,194,373,340,479,1537,0,705,222
"Peromyscus",0,141,104,132,126,120,0,100,0,121,155,0,0,279,0,105,0,0,0,100,162,129,0,0,171,222,0,0,163,0,0,100,0,113,126,0,102,0,0,0,0,206,0,0,0
"Petromyzon",0,237,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,241,0,133,161,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,134,0,0,0
"Phacochoerus",159,0,0,0,0,120,0,121,104,0,214,0,0,0,0,135,0,0,0,120,0,162,108,0,0,137,0,0,0,0,0,0,0,101,0,112,102,0,0,122,0,0,0,153,0
"Phaedon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phalacrocorax",0,364,164,775,205,470,778,1300,328,400,1804,2629,374,1284,0,0,0,112,1499,692,484,755,412,0,2624,510,0,111,0,0,0,0,264,0,592,0,121,0,0,0,0,159,0,0,0
"Phascolarctos",0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phasianus",0,129,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1023,0,181,0,0
"Philereme",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phoca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pholis",0,0,0,0,0,174,0,129,244,337,525,1027,281,755,1214,181,0,0,106,303,422,655,270,0,497,836,0,490,709,0,0,0,0,0,105,179,0,0,0,124,126,405,326,0,0
"Phorcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,118,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phosphuga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Photinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phoxinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phyllotreta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phymastichus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Physella",0,0,0,0,0,0,0,0,114,0,132,284,0,124,415,0,0,0,0,0,119,0,0,0,0,141,0,226,673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pilophorus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pinctada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pipistrellus",0,0,0,0,0,0,0,0,0,0,0,120,0,109,115,0,0,0,0,0,0,0,0,0,0,0,0,110,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Piscicola",0,0,0,0,0,0,0,0,0,0,0,137,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Platichthys",0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plectropomus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pleuronectes",0,0,0,0,0,0,0,0,0,170,235,411,158,520,1346,167,0,0,0,255,266,126,186,0,0,167,0,142,189,0,0,0,0,0,0,0,0,0,0,0,0,104,309,420,0
"Podarcis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Poecile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Poecilia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pogona",0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polistes",0,0,0,0,0,0,0,0,0,0,0,176,0,115,214,0,0,0,0,0,0,0,0,0,0,0,0,160,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pollachius",0,302,156,428,289,548,513,545,599,923,1027,2067,640,1092,0,220,0,268,183,464,24839,2163,343,0,580,858,118,616,541,0,0,126,161,141,177,139,100,0,0,109,105,190,258,243,0
"Pollicipes",0,0,0,0,0,0,0,0,0,0,0,111,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
